Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours)
Asia Pacific,,2012,16321.563899005381,6961.769691581663,31137.956329991925
Asia Pacific,,2013,16574.850130285486,7043.435683370964,31962.60224780335
Asia Pacific,,2014,16828.538836548232,7268.153504742972,32179.920139182188
Asia Pacific,,2015,17512.119360416276,7345.710828991511,31956.1517227553
Asia Pacific,,2016,18110.892764387667,7562.417359095652,32024.752430457127
Australia,AUS,1965,175.86886,0.034890000000000004,202.02777777777786
Australia,AUS,1966,209.36326000000005,0.046520000000000006,209.3888888888889
Australia,AUS,1967,229.44827,0.046520000000000006,215.25000000000009
Australia,AUS,1968,249.92870000000005,0.32564000000000004,221.69444444444454
Australia,AUS,1969,256.53454,4.39614,229.27777777777786
Australia,AUS,1970,283.91156000000007,17.0955012876,231.6944444444445
Australia,AUS,1971,298.79796000000005,25.515526921780005,232.56944444444454
Australia,AUS,1972,303.8919,36.62760275872001,242.9305555555556
Australia,AUS,1973,324.04669,46.50172850242001,252.98611111111117
Australia,AUS,1974,343.28271,53.05500399600001,264.06944444444457
Australia,AUS,1975,338.85168,56.975179291260005,272.54166666666674
Australia,AUS,1976,346.32977,67.26195506604,281.79166666666674
Australia,AUS,1977,362.76296,76.83150578680001,294.1805555555557
Australia,AUS,1978,363.4277615971898,82.71668123006,301.8611111111112
Australia,AUS,1979,369.50953579120477,95.21408217134002,315.54166666666674
Australia,AUS,1980,354.0446075254415,109.33260823472003,324.763888888889
Australia,AUS,1981,342.22917702321126,118.49933392514001,333.13888888888897
Australia,AUS,1982,340.8405497776615,115.57148370462002,336.68055555555566
Australia,AUS,1983,337.5568861230899,125.54385945572002,336.55555555555566
Australia,AUS,1984,354.13167886591447,127.401467841798,355.9027777777779
Australia,AUS,1985,336.4320020063613,136.04692638206348,368.13888888888897
Australia,AUS,1986,344.6249823578353,148.46002207903751,377.4861111111112
Australia,AUS,1987,351.78124192937497,151.607222242302,393.36111111111126
Australia,AUS,1988,368.06256273115383,155.1104820916555,413.763888888889
Australia,AUS,1989,380.79116361072056,167.7652895537375,433.9583333333335
Australia,AUS,1990,386.03978524911247,167.38380191518712,444.34722222222234
Australia,AUS,1991,375.17335849722264,164.1552270279411,453.263888888889
Australia,AUS,1992,376.3732376408905,172.2896924782206,455.95833333333354
Australia,AUS,1993,396.1777138358688,177.02265886113912,458.8888888888891
Australia,AUS,1994,411.1069179143498,194.6573953983612,468.26388888888897
Australia,AUS,1995,423.95965815617745,193.78245684666817,484.1666666666668
Australia,AUS,1996,430.44111965606174,197.0589198807777,503.9583333333335
Australia,AUS,1997,438.18438041373554,193.5376355101189,529.4583333333335
Australia,AUS,1998,437.2823706164292,199.25849412471808,553.0833333333335
Australia,AUS,1999,451.3150661935477,204.09388467923995,556.0201865974949
Australia,AUS,2000,448.74264424796274,207.9623703796329,558.2896581978297
Australia,AUS,2001,451.6370644352571,224.2574762447637,551.8628174734714
Australia,AUS,2002,449.51127581019796,230.81277768099613,563.9828572556745
Australia,AUS,2003,448.71201804801535,232.71779075238354,580.1952719466764
Australia,AUS,2004,461.83580769958695,237.5125385728155,605.1317099052295
Australia,AUS,2005,459.2593561606271,235.87804832709168,601.7575547365615
Australia,AUS,2006,498.4686449442264,263.1207382950036,617.7222504432548
Australia,AUS,2007,494.3625180880193,294.3569029773158,612.4516910223895
Australia,AUS,2008,502.4319000130372,291.55183749113337,637.9432302611025
Australia,AUS,2009,506.19379072003636,305.0844839812726,617.7940717988861
Australia,AUS,2010,508.5184440125522,325.24822029573204,574.4026720950579
Australia,AUS,2011,538.7690613941373,352.9064842793023,559.5462010434082
Australia,AUS,2012,557.0409956940729,354.0730522975464,524.4349678298349
Australia,AUS,2013,560.0030197772546,371.6037821284355,500.0929010791986
Australia,AUS,2014,559.6826113875147,400.5903406289226,495.93594133600635
Australia,AUS,2015,556.6413102572432,448.853367197785,512.7355394877562
Australia,AUS,2016,556.3015203419935,430.38090205170084,509.47057598978324
Austria,AUT,1965,64.67443,19.029167328510926,59.11489975259653
Austria,AUT,1966,71.12908,20.432188042097692,56.467596389378805
Austria,AUT,1967,75.74619,19.575266056294303,53.450901859200485
Austria,AUT,1968,87.64368,20.87504427495135,52.773684719772696
Austria,AUT,1969,96.27314000000001,25.32622359547468,51.93639807466198
Austria,AUT,1970,105.79811000000002,30.720421291154295,55.854166666666686
Austria,AUT,1971,118.11428,35.28934224480951,51.233611111111124
Austria,AUT,1972,127.42991000000002,38.136996070634225,46.453888888888905
Austria,AUT,1973,138.00158000000002,41.91646803824687,46.16972222222224
Austria,AUT,1974,123.42919000000002,45.434661630038775,48.72277777777779
Austria,AUT,1975,124.59219,45.380000115815754,42.34055555555557
Austria,AUT,1976,135.48950000000002,51.68572363216006,45.06000000000002
Austria,AUT,1977,129.56983000000002,52.67386762095166,37.80027777777779
Austria,AUT,1978,139.56,54.78851625257234,38.402222222222235
Austria,AUT,1979,145.42152000000002,54.32401652267088,41.686111111111124
Austria,AUT,1980,141.74644,52.189296075574546,42.83472222222224
Austria,AUT,1981,128.46498,49.74681910770791,43.850000000000016
Austria,AUT,1982,121.75447000000003,48.1522484842625,41.70555555555557
Austria,AUT,1983,117.56767,49.13123986251143,44.65583333333335
Austria,AUT,1984,114.20660000000001,54.703459574779664,50.8863888888889
Austria,AUT,1985,114.38105000000002,58.613496140484706,50.81500000000001
Austria,AUT,1986,120.68451000000002,56.90872944209374,45.302500000000016
Austria,AUT,1987,124.09209999999999,59.36709378137904,44.93944444444446
Austria,AUT,1988,122.82443,56.86939178430265,43.0338888888889
Austria,AUT,1989,120.73103000000003,61.075879225192104,43.22805555555557
Austria,AUT,1990,126.24365000000003,67.23677224098074,47.64055555555558
Austria,AUT,1991,136.00122000000005,71.28530198771617,49.972222222222236
Austria,AUT,1992,132.48896000000002,70.00216445191104,38.88194444444446
Austria,AUT,1993,133.54729,73.61746138426247,34.959166666666675
Austria,AUT,1994,131.67486,75.72249368054639,35.454444444444455
Austria,AUT,1995,131.65160000000003,82.67650970502454,40.33861111111113
Austria,AUT,1996,136.11751999999998,88.00000695975456,40.510277777777794
Austria,AUT,1997,138.64123000000004,84.81358174826453,42.968888888888905
Austria,AUT,1998,143.96777,87.07334795576931,37.83000000000001
Austria,AUT,1999,141.32776,88.94095237956242,37.569916315173984
